work_year,company_size_full,avg_salary,count
2020,Large,114311.97,34
2020,Medium,113195.06,17
2020,Small,78782.43,23
2021,Large,103574.59,111
2021,Medium,82742.4,48
2021,Small,94172.13,39
2022,Large,117562.59,152
2022,Medium,134999.64,798
2022,Small,80299.79,42
2023,Large,113362.83,161
2023,Medium,155724.56,3366
2023,Small,91420.64,44
2024,Large,128335.64,204
2024,Medium,151023.81,11587
2024,Small,97965.67,21
2025,Large,136793.19,129
2025,Medium,145572.5,12540
2025,Small,76485.5,8
