work_year,avg_salary,median_salary,count,std_salary
2020,103012.42,82416.5,74,83021.85
2021,96672.36,80000.0,198,66327.48
2022,130011.91,128875.0,992,60313.53
2023,153022.35,145000.0,3571,71275.46
2024,150537.64,138067.0,11812,77231.23
2025,145439.56,131700.0,12677,77742.19
