work_year,avg_salary,median_salary,count,std_salary,min_salary,max_salary
2020,103012.42,82416.5,74,83021.85,15000,450000
2021,98477.0,82500.0,203,66922.84,15000,423000
2022,130956.28,129300.0,1025,60846.76,15000,430967
2023,152193.36,144500.0,3869,70283.59,15680,750000
2024,149358.77,137260.0,13211,75823.63,16000,774000
2025,145120.41,131414.0,13853,76586.36,15157,793136
